"External ID","Бригада","Регион","Начало смены","Расход топлива/Оборудование/Наименование оборудования","Расход топлива/Количество","Расход топлива/Заправка / Расход"
"__export__.roadmark_mrp_shift_work_shift_21451_d3fd6777","У01 Богдан","Россия","2023-09-03 12:00:00","JAC N120 АР 5964-1","25.28","Расход"
"","","","","Контур 400 № 009-6","66.7","Расход"
"","","","","Вулкан 3000 новый","25.55","Расход"
"__export__.roadmark_mrp_shift_work_shift_21463_a3723aca","П08 Латыев","Россия","2023-09-03 21:00:00","ГАЗ В721ХС763 (подменный)","2.35","Расход"
"__export__.roadmark_mrp_shift_work_shift_21476_ad09b5db","Р02  Михалойть","Россия","2023-09-03 21:00:00","Р03 ГАЗ NEXT АН 7652-1 (новый)","55.94","Расход"
"","","","","Р03 ГАЗ NEXT АН 7652-1 (новый)","60.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21481_238f39b1","Р06 Христик","Россия","2023-09-03 21:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21436_f53acabe","К03 Медведь","Россия","2023-09-04 00:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21457_fb6b92f9","К06 Камалов_","Россия","2023-09-04 02:00:00","К04 Двигатель ""Кубота""","10.4","Расход"
"","","","","К06 HYUNDAI VT (HD78)  В784ХС763","25.79","Расход"
"","","","","К06 ШМЕЛЬ 12А В146ВН763","45.52","Расход"
"","","","","К06 воздуходувка","1.8","Расход"
"","","","","К06 HYUNDAI VT (HD78)  В784ХС763","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21511_006c335e","П04 Старикевич","Россия","2023-09-04 04:00:00","Контур 750 №1","52.6","Расход"
"","","","","П04 МАЗ АН4994-1","44.58","Расход"
"","","","","П04 Вулкан 5000 №003","83.4","Расход"
"","","","","П04 ГАЗ  АН 0195-1","46.26","Расход"
"","","","","П04 ГАЗ  АН 0195-1","60.0","Заправка"
"","","","","П04 Вулкан 5000 №003","100.0","Заправка"
"","","","","Контур 750 №1","70.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21466_4935469a","П09 Мартынюк","Россия","2023-09-04 04:00:00","JAC N120 АР 5962-1","42.9","Расход"
"","","","","Контур 400 №007-3","60.0","Расход"
"","","","","Газель NEXT 5710 АР-1","25.75","Расход"
"","","","","Вулкан 3000","142.6","Расход"
"__export__.roadmark_mrp_shift_work_shift_21491_b40f9050","Р10 Тямов","Россия","2023-09-04 04:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21483_43a2dd8e","У02 Саржан","Россия","2023-09-04 04:00:00","Контур 400 №1","53.4","Расход"
"","","","","Вулкан 2х1500 №9","37.08","Расход"
"","","","","Вулкан 2х1500 №9","50.0","Заправка"
"","","","","Контур 400 №1","50.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21470_5a5d9eb5","П05 Протасевич","Россия","2023-09-04 05:00:00","К01 ГАЗ  АН 0391-1","23.54","Расход"
"","","","","П01 МАЗ АМ 0041-1","47.75","Расход"
"","","","","Вулкан 3000","142.0","Расход"
"","","","","П01 Контур 700 ТПК № 73","86.8","Расход"
"","","","","Вулкан 3000","130.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21462_0762994b","П06 Алькин","Россия","2023-09-04 07:00:00","П01 Вулкан 5000 №005","103.0","Расход"
"","","","","П06 ГАЗ АН 8428-1","89.1","Расход"
"","","","","П06 Камаз В139ВН763","24.17","Расход"
"","","","","П06 Контур 1500 №4","121.85","Расход"
"","","","","П06 Электростанция","3.7","Расход"
"","","","","П06 воздуходувка","0.9","Расход"
"","","","","П06 ГАЗ АН 8428-1","60.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21464_d8bdc02c","Р01 Бочкарёв","Россия","2023-09-04 07:00:00","Р04 HYUNDAI АН 0303-1","13.66","Расход"
"","","","","Р01 Вулкан 2х400","20.1","Расход"
"__export__.roadmark_mrp_shift_work_shift_21465_4ad7c216","Р08 Алексеев","Россия","2023-09-04 07:00:00","Р08 HYUNDAI VT (HD78)   В837ХР763","58.4","Расход"
"","","","","Р09 бензогенератор huter dy-4000","0.75","Расход"
"__export__.roadmark_mrp_shift_work_shift_21469_3ee2295f","Т01 Федоров (Тычковочная)","Россия","2023-09-04 07:00:00","Р09 Газ В721ХС763","24.0","Расход"
"","","","","Р09 Газ В721ХС763","35.27","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21472_05f6fca9","Р04 Безсилко","Россия","2023-09-04 07:30:00","К02 ГАЗ NEXT АН 7653-1 (новый)","74.03","Расход"
"","","","","К02 ГАЗ NEXT АН 7653-1 (новый)","70.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21467_f3fd7112","П02 Лагодич","Россия","2023-09-04 07:40:00","П02 МАЗ АМ 2272-1","36.0","Расход"
"","","","","Контур 650 ХПЭ №37","40.0","Расход"
"","","","","К04 ГАЗ  AM 6425-1","26.0","Расход"
"","","","","П02 МАЗ АМ 2272-1","400.0","Заправка"
"","","","","К04 ГАЗ  AM 6425-1","50.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21555_0e646dd9","Д01 Небеленчук (демаркиратор)","Беларусь","2023-09-04 08:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21507_2b223752","Р11 Островский","Россия","2023-09-04 08:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21598_8e7cab38","У01 Богдан","Россия","2023-09-04 08:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21517_9122812f","К04 Северенюк","Россия","2023-09-04 08:42:00","Б1.1 МАЗ  АI7476-1","58.75","Расход"
"","","","","ГАЗ NEXT АР 5743-1","16.88","Расход"
"","","","","П02 Вулкан 5000 (Аренда)","110.0","Расход"
"","","","","П02 Контур 700 ТП №112","50.6","Расход"
"","","","","ГАЗ NEXT АР 5743-1","35.0","Заправка"
"","","","","Б1.1 МАЗ  АI7476-1","300.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21453_c7b48fcd","К01 Чурак","Беларусь","2023-09-04 09:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21461_6fe0bb38","К05 Наумчик","Россия","2023-09-04 09:00:00","Р01 ISUZU  АК 5853-1","61.61","Расход"
"__export__.roadmark_mrp_shift_work_shift_21504_0b658895","Р03 Тахасюк","Россия","2023-09-04 09:25:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21460_4199ed74","Р05 Шумик","Беларусь","2023-09-04 11:00:00","Р05 HYUNDAI AI1781-1","66.03","Расход"
"","","","","Р05 HYUNDAI AI1781-1","50.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21489_29734468","Р12 Демух","Россия","2023-09-04 17:00:00","Воздуходувка GB-26","0.9","Расход"
"","","","","К07 Электростанция","2.25","Расход"
"","","","","Р12 Лайн-лазер Грако 3900","1.2","Расход"
"","","","","П01 Газ АМ 6426-1","13.41","Расход"
"__export__.roadmark_mrp_shift_work_shift_21519_ecbeb5b1","П08 Латыев","Россия","2023-09-04 21:00:00","ГАЗ В721ХС763 (подменный)","3.83","Расход"
